# session boot=2 t=33.214
106.433 j1850: 68 FF 40 03 D8 | CRC OK
106.447 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.513 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.557 j1850: 68 FF 60 03 AD | CRC OK
106.578 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.627 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
106.644 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.709 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.775 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.840 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.906 j1850: 28 1B 10 02 00 00 D5 | CRC OK
106.971 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.037 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.103 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.118 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
107.168 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.216 j1850: 68 FF 10 03 86 | CRC OK
107.224 j1850: 68 88 10 03 44 | CRC OK
107.234 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.241 j1850: C8 88 10 0E BA | CRC OK
107.253 j1850: C8 89 60 03 9F | CRC OK
107.259 j1850: E8 89 60 0E 54 | CRC OK
107.299 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.365 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.430 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.496 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.561 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.609 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
107.615 j1850: 48 DA 40 39 00 70 | CRC OK
107.627 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.692 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.758 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.823 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.889 j1850: 28 1B 10 02 00 00 D5 | CRC OK
107.954 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.020 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.086 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.101 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
108.151 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.217 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.223 j1850: 68 88 10 03 44 | CRC OK
108.232 j1850: C8 88 10 0E BA | CRC OK
108.255 j1850: C8 89 60 03 9F | CRC OK
108.260 j1850: E8 89 60 0E 54 | CRC OK
108.282 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.348 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.413 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.463 j1850: 68 FF 40 03 D8 | CRC OK
108.479 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.544 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.581 j1850: 68 FF 60 03 AD | CRC OK
108.593 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
108.610 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.675 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.741 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.806 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.872 j1850: 28 1B 10 02 00 00 D5 | CRC OK
108.938 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.003 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.069 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.084 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
109.134 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.200 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.215 j1850: 68 FF 10 03 86 | CRC OK
109.223 j1850: 68 88 10 03 44 | CRC OK
109.231 j1850: C8 88 10 0E BA | CRC OK
109.245 j1850: C8 89 60 03 9F | CRC OK
109.251 j1850: E8 89 60 0E 54 | CRC OK
109.265 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.331 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.396 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.462 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.527 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.576 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
109.593 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.658 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.724 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.790 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.855 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.921 j1850: 28 1B 10 02 00 00 D5 | CRC OK
109.986 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.052 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.068 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
110.117 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.183 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.214 j1850: 68 88 10 03 44 | CRC OK
110.223 j1850: C8 88 10 0E BA | CRC OK
110.241 j1850: C8 89 60 03 9F | CRC OK
110.247 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.253 j1850: E8 89 60 0E 54 | CRC OK
110.314 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.379 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.445 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.493 j1850: 68 FF 40 03 D8 | CRC OK
110.510 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.559 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
110.576 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.589 j1850: 68 FF 60 03 AD | CRC OK
110.642 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.707 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.773 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.838 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.904 j1850: 28 1B 10 02 00 00 D5 | CRC OK
110.969 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.035 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.051 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
111.100 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.166 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.214 j1850: 68 FF 10 03 86 | CRC OK
111.222 j1850: 68 88 10 03 44 | CRC OK
111.231 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.235 j1850: C8 89 60 03 9F | CRC OK
111.242 j1850: C8 88 10 0E BA | CRC OK
111.262 j1850: E8 89 60 0E 54 | CRC OK
111.297 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.362 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.428 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.494 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.542 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
111.559 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.625 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.690 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.756 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.821 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.887 j1850: 28 1B 10 02 00 00 D5 | CRC OK
111.952 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.018 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.034 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
112.083 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.149 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.214 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.221 j1850: 68 88 10 03 44 | CRC OK
112.230 j1850: C8 88 10 0E BA | CRC OK
112.239 j1850: C8 89 60 03 9F | CRC OK
112.244 j1850: E8 89 60 0E 54 | CRC OK
112.280 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.346 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.411 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.477 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.522 j1850: 68 FF 40 03 D8 | CRC OK
112.528 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
112.542 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.604 j1850: 68 FF 60 03 AD | CRC OK
112.611 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.673 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.739 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.804 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.870 j1850: 28 1B 10 02 00 00 D5 | CRC OK
112.935 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.001 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.017 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
113.066 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.132 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.198 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.212 j1850: 68 FF 10 03 86 | CRC OK
113.221 j1850: 68 88 10 03 44 | CRC OK
113.228 j1850: C8 88 10 0E BA | CRC OK
113.234 j1850: C8 89 60 03 9F | CRC OK
113.253 j1850: E8 89 60 0E 54 | CRC OK
113.263 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.329 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.394 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.460 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.513 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
113.525 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.591 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.656 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.722 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.787 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.853 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.918 j1850: 28 1B 10 02 00 00 D5 | CRC OK
113.984 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.000 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
114.050 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.115 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.181 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.212 j1850: 68 88 10 03 44 | CRC OK
114.219 j1850: C8 88 10 0E BA | CRC OK
114.225 j1850: C8 89 60 03 9F | CRC OK
114.245 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.250 j1850: E8 89 60 0E 54 | CRC OK
114.312 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.377 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.443 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.491 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
114.508 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.553 j1850: 68 FF 40 03 D8 | CRC OK
114.574 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.622 j1850: 68 FF 60 03 AD | CRC OK
114.639 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.705 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.770 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.836 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.902 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.967 j1850: 28 1B 10 02 00 00 D5 | CRC OK
114.983 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
115.033 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.098 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.164 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.211 j1850: 68 FF 10 03 86 | CRC OK
115.219 j1850: 68 88 10 03 44 | CRC OK
115.229 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.236 j1850: C8 88 10 0E BA | CRC OK
115.247 j1850: C8 89 60 03 9F | CRC OK
115.253 j1850: E8 89 60 0E 54 | CRC OK
115.295 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.360 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.426 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.474 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
115.491 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.557 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.622 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.688 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.754 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.819 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.885 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.950 j1850: 28 1B 10 02 00 00 D5 | CRC OK
115.966 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
116.016 j1850: 28 1B 10 02 00 00 D5 | CRC OK
116.081 j1850: 28 1B 10 02 00 00 D5 | CRC OK
116.147 j1850: 28 1B 10 02 00 00 D5 | CRC OK
116.212 j1850: 28 1B 10 02 00 00 D5 | CRC OK
116.219 j1850: 68 88 10 03 44 | CRC OK
116.228 j1850: C8 88 10 0E BA | CRC OK
