# session boot=1 t=107.426
115.171 j1850: E8 89 60 0E 54 | CRC OK
115.216 j1850: 28 1B 10 02 15 28 6F | CRC OK
115.281 j1850: 28 1B 10 02 15 D0 F8 | CRC OK
115.330 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
115.347 j1850: 28 1B 10 02 15 B8 84 | CRC OK
115.412 j1850: 28 1B 10 02 15 C0 35 | CRC OK
115.468 j1850: 68 FF 40 03 D8 | CRC OK
115.478 j1850: 28 1B 10 02 16 8C 6E | CRC OK
115.543 j1850: 28 1B 10 02 16 E4 12 | CRC OK
115.609 j1850: 28 1B 10 02 16 5C 96 | CRC OK
115.674 j1850: 28 1B 10 02 15 D8 10 | CRC OK
115.740 j1850: 28 1B 10 02 15 E8 5A | CRC OK
115.805 j1850: 28 1B 10 02 16 74 F9 | CRC OK
115.821 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
115.871 j1850: 28 1B 10 02 16 7C 11 | CRC OK
115.936 j1850: 28 1B 10 02 16 6C DC | CRC OK
116.002 j1850: 28 1B 10 02 16 34 EA | CRC OK
116.067 j1850: 28 1B 10 02 16 5C 96 | CRC OK
116.133 j1850: 28 1B 10 02 16 40 C7 | CRC OK
116.140 j1850: 68 88 10 03 44 | CRC OK
116.148 j1850: C8 88 10 0E BA | CRC OK
116.160 j1850: C8 89 60 03 9F | CRC OK
116.169 j1850: E8 89 60 0E 54 | CRC OK
116.199 j1850: 28 1B 10 02 16 48 2F | CRC OK
116.264 j1850: 28 1B 10 02 15 F8 97 | CRC OK
116.313 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
116.330 j1850: 28 1B 10 02 15 B8 84 | CRC OK
116.395 j1850: 28 1B 10 02 16 64 34 | CRC OK
116.461 j1850: 28 1B 10 02 16 34 EA | CRC OK
116.526 j1850: 28 1B 10 02 16 90 3F | CRC OK
116.535 j1850: A8 83 10 0A 02 30 11 | CRC OK
116.592 j1850: 28 1B 10 02 16 58 E2 | CRC OK
116.657 j1850: 28 1B 10 02 16 34 EA | CRC OK
116.723 j1850: 28 1B 10 02 16 BC 24 | CRC OK
116.788 j1850: 28 1B 10 02 16 E4 12 | CRC OK
116.804 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
116.854 j1850: 28 1B 10 02 16 50 0A | CRC OK
116.919 j1850: 28 1B 10 02 16 20 53 | CRC OK
116.985 j1850: 28 1B 10 02 15 B4 18 | CRC OK
117.050 j1850: 28 1B 10 02 15 98 03 | CRC OK
117.116 j1850: 28 1B 10 02 16 84 86 | CRC OK
117.131 j1850: 68 FF 10 03 86 | CRC OK
117.139 j1850: 68 88 10 03 44 | CRC OK
117.148 j1850: C8 88 10 0E BA | CRC OK
117.156 j1850: C8 89 60 03 9F | CRC OK
117.161 j1850: E8 89 60 0E 54 | CRC OK
117.167 j1850: 68 FF 60 03 AD | CRC OK
117.182 j1850: 28 1B 10 02 16 28 BB | CRC OK
117.247 j1850: 28 1B 10 02 15 BC F0 | CRC OK
117.296 j1850: A8 3B 10 03 00 00 | CRC OK | gear=0x00->N
117.313 j1850: 28 1B 10 02 16 14 6D | CRC OK
117.379 j1850: 28 1B 10 02 16 68 A8 | CRC OK
117.444 j1850: 28 1B 10 02 16 2C CF | CRC OK
117.498 j1850: 68 FF 40 03 D8 | CRC OK
117.509 j1850: 28 1B 10 02 16 2C CF | CRC OK
117.575 j1850: 28 1B 10 02 16 58 E2 | CRC OK
