# session boot=3 t=16.945
46.296 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.361 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.427 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.443 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
46.492 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.540 j1850: 68 FF 10 03 86 | CRC OK
46.548 j1850: 68 88 10 03 44 | CRC OK
46.558 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.565 j1850: C8 88 10 0E BA | CRC OK
46.570 j1850: C8 89 60 03 9F | CRC OK
46.603 j1850: E8 89 60 0E 54 | CRC OK
46.623 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.689 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.755 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.820 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.886 j1850: 28 1B 10 02 00 00 D5 | CRC OK
46.934 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
46.943 j1850: 48 DA 40 39 00 70 | CRC OK
46.951 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.017 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.082 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.148 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.213 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.279 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.344 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.410 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.426 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
47.475 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.541 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.548 j1850: 68 88 10 03 44 | CRC OK
47.556 j1850: C8 88 10 0E BA | CRC OK
47.567 j1850: C8 89 60 03 9F | CRC OK
47.581 j1850: E8 89 60 0E 54 | CRC OK
47.607 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.672 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.738 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.784 j1850: 68 FF 40 03 D8 | CRC OK
47.803 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.869 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.917 j1850: A8 3B 10 03 00 00 | CRC OK | load=0x00
47.933 j1850: 28 1B 10 02 00 00 D5 | CRC OK
47.939 j1850: 68 FF 60 03 AD | CRC OK
48.000 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.065 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.131 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.196 j1850: 28 1B 10 02 00 00 D5 | CRC OK
48.262 j1850: 28 1B 10 02 00 00 D5 | CRC OK
